id,team1,team2,match,date,score1,score2,venue
b2e603ab-96f7-4711-ac9f-6a78e742237d,Punjab Kings,Rajasthan Royals,18th Match,05-04-25,None,None,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
2ac97990-6265-40e4-b93e-fcd24e89026c,Kolkata Knight Riders,Lucknow Super Giants,19th Match,06-04-25,None,None,"Eden Gardens, Kolkata"
3027ad1a-e7d8-4891-8ea0-1a56f81e8700,Sunrisers Hyderabad,Gujarat Titans,20th Match,06-04-25,None,None,"Rajiv Gandhi International Stadium, Hyderabad"
0a5ebe67-67a3-41d2-bbc8-5fc94aef0529,Mumbai Indians,Royal Challengers Bengaluru,21st Match,07-04-25,None,None,"Wankhede Stadium, Mumbai"
56a88e0e-e844-41bd-ba65-3c905e36ba0d,Punjab Kings,Chennai Super Kings,22nd Match,08-04-25,None,None,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
71213f27-c274-48b0-97f7-ec74e895dcbe,Gujarat Titans,Rajasthan Royals,23rd Match,09-04-25,None,None,"Narendra Modi Stadium, Ahmedabad"
3f309c2d-75dd-48bc-9d9f-e3979e252949,Royal Challengers Bengaluru,Delhi Capitals,24th Match,10-04-25,None,None,"M.Chinnaswamy Stadium, Bengaluru"
b39bbd39-c67f-4892-9a48-02e958946718,Chennai Super Kings,Kolkata Knight Riders,25th Match,11-04-25,None,None,"MA Chidambaram Stadium, Chennai"
35938151-73ee-4969-8153-db8aabee3b90,Lucknow Super Giants,Gujarat Titans,26th Match,12-04-25,None,None,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
b13f129b-2596-429d-ad49-a1b0d102809b,Rajasthan Royals,Royal Challengers Bengaluru,28th Match,13-04-25,None,None,"Sawai Mansingh Stadium, Jaipur"
99c52578-1257-4834-9848-88cfec556836,Delhi Capitals,Mumbai Indians,29th Match,13-04-25,None,None,"Arun Jaitley Stadium, Delhi"
263c1103-33c0-4c05-864f-5dbcd29ead9b,Lucknow Super Giants,Chennai Super Kings,30th Match,14-04-25,None,None,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
23f60d1b-2641-4a84-bb73-54d3aadfb294,Punjab Kings,Kolkata Knight Riders,31st Match,15-04-25,None,None,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
3659022a-de1d-48fe-b68a-c62197297408,Delhi Capitals,Rajasthan Royals,32nd Match,16-04-25,None,None,"Arun Jaitley Stadium, Delhi"
71756de6-bdef-4b23-801f-c6bec9604e07,Mumbai Indians,Sunrisers Hyderabad,33rd Match,17-04-25,None,None,"Wankhede Stadium, Mumbai"
ebce77ae-63e1-46eb-8ff4-360ba8dc9bf2,Royal Challengers Bengaluru,Punjab Kings,34th Match,18-04-25,None,None,"M.Chinnaswamy Stadium, Bengaluru"
71666b6c-a6f9-4e09-a9d9-7f3ddca832d6,Gujarat Titans,Delhi Capitals,35th Match,19-04-25,None,None,"Narendra Modi Stadium, Ahmedabad"
a007a070-6120-4e37-8bf9-c9582801a20b,Rajasthan Royals,Lucknow Super Giants,36th Match,19-04-25,None,None,"Sawai Mansingh Stadium, Jaipur"
4ace6d56-2e54-473e-a3c1-8bfcd06da6e2,Punjab Kings,Royal Challengers Bengaluru,37th Match,20-04-25,None,None,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh"
01244c3f-ce16-42a7-bcee-31d75fcdfb4e,Mumbai Indians,Chennai Super Kings,38th Match,20-04-25,None,None,"Wankhede Stadium, Mumbai"
a62d133e-9370-4575-b649-9415fea63aab,Kolkata Knight Riders,Gujarat Titans,39th Match,21-04-25,None,None,"Eden Gardens, Kolkata"
47fd62f1-ca48-4c9c-9ded-0d2fcb5a64df,Lucknow Super Giants,Delhi Capitals,40th Match,22-04-25,None,None,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
